name,heat,status,change_pct,alert,confidence,style_tags,elements,fabrics,summary,stock_search_keyword
静奢风 Quiet Luxury,94.0,rising,,steady,0,极简、高级感、无Logo,羊绒大衣、真丝衬衫、无Logo手袋、极简乐福鞋,羊绒、真丝、重磅棉,以质感与剪裁取胜的低调奢华，摒弃张扬 Logo，用顶级面料与利落线条传递身份感。,
芭蕾核 Balletcore,88.0,rising,,steady,0,浪漫、少女感、缎带,芭蕾平底鞋、缎带发饰、薄纱裙、针织裹身,薄纱、缎面、针织,芭蕾舞者美学，柔软缎带与薄纱叠搭，温柔浪漫的少女感。,
户外机能风 Gorpcore,82.0,rising,,steady,0,户外、机能、实用主义,机能马甲、冲锋衣、户外工装裤、登山鞋,GORE-TEX、尼龙、抓绒,把户外装备穿进城市，功能性与街头感并存的实用主义风。,
办公室塞壬风 Office Siren,76.0,rising,,steady,0,职场、复古、性感,修身西装、铅笔裙、细框眼镜、尖头鞋,羊毛、真丝、皮革,干练与性感并存的职场新美学，修身西装与尖头鞋塑造强势气场。,
老钱风 Old Money,71.0,stable,,steady,0,复古、学院、低调优雅,针织开衫、乐福鞋、珍珠配饰、百褶裙,羊毛、亚麻、麂皮,世家气质的低调优雅，羊绒、乐福鞋与珍珠的经典组合。,
极简胶囊衣橱 Capsule,66.0,stable,,steady,0,极简、基础款、实用,白衬衫、直筒裤、基础T恤、西装外套,棉、羊毛、牛仔,少而精的胶囊衣橱理念，基础款与中性色永不过时。,
西部牛仔风 Western,58.0,stable,,steady,0,复古、西部、粗犷,牛仔靴、流苏外套、宽檐帽、皮革腰带,牛仔、麂皮、皮革,西部牛仔元素持续流行，牛仔靴与流苏是核心单品。,
娇俏蝴蝶结风 Coquette,55.0,falling,,steady,0,复古、少女、蝴蝶结,蝴蝶结发饰、荷叶边衬衫、玛丽珍鞋,蕾丝、雪纺、缎面,蝴蝶结与荷叶边的娇俏少女风，热度较峰值有所回落。,
千禧风 Y2K,48.0,falling,,steady,0,复古、千禧、闪耀,低腰牛仔裤、蝴蝶发夹、闪亮配饰、露脐上衣,牛仔、亮片、PVC,千禧年复古回潮，低腰与亮片的热度正在退潮。,
多巴胺穿搭 Dopamine,40.0,falling,,steady,0,鲜艳、撞色、活力,亮色针织、撞色配饰、彩色西装,针织、棉、雪纺,高饱和撞色的活力穿搭，热度较峰值明显回落。,
